TD||59.76||0.7474444||3||5.35||0||0||||
TDG||1313.71||35||O||3.55||0||0||||
TEL||152.71||0.65||3||1.73||0||0||||
TEO||7.350||0.2079672||O||9.48||0||0||||
TER||135.41||0.12||3||0.34||0||0||||
TGS||18.870||0.0261425||O||13.62||0||0||||
TGT||159.25||1.12||3||3.10||0||0||||
TIMB||16.71||0.0852968||3||2.35||0||0||||
TJX||120.23||0.35||3||1.38||0||0||||
TM||183.62||2.549468||6||1.71||0||0||||
TMO||610.17||0.39||3||0.25||0||0||||
TMUS||195.46||0.65||3||1.33||0||0||||
TS||28.04||0.8||6||3.42||0||0||||
TSM||171.44||0.487082||3||1.13||0||0||||
TTE||68.79||0.6255695||3||3.76||0||0||||
TV||2.020||0.089872||12||2.77||0||0||||
TX||34.74||2.2||6||7.73||0||0||||
TXN||208.37||1.3||3||2.59||0||0||||
U||17.30||0||0||0||0||0||||
UL||61.80||0.4723||3||3.08||0||0||||
UNH||578.07||2.1||3||1.45||0||0||||
UPS||127.9||1.63||3||5.03||0||0||||
V||268.2||0.52||3||0.80||0||0||||
VALE||10.64||0.309355||O||12.51||0||0||||
VFC||17.03||0.09||3||2.15||0||0||||
VIST||48.530||0||0||0||0||0||||
VLO||143.87||1.07||3||2.65||0||0||||
VRSK||269.38||0.39||3||0.58||0||0||||
VZ||41.05||0.665||3||6.44||0||0||||
WFC||55.46||0.4||3||3.03||0||0||||
WMB||44.50||0.475||3||4.29||0||0||||
WMT||75.24||0.2075||3||1.11||0||0||||
XOM||113.85||0.95||3||3.19||0||0||||
YPF||21.120||0.139629||12||0.77||0||0||||
ZBH||112.13||0.24||3||0.89||0||0||||
ZTS||182.90||0.432||3||0.95||15.42||-1.370000000000001||||
